Timestamp;s;distance;thetab
5165000;1.823888E-001;1.996457E-001;8.801818E-004
5178000;1.823888E-001;1.996457E-001;9.187758E-004
5189000;1.823888E-001;1.996457E-001;9.871125E-004
5202000;1.823888E-001;1.996457E-001;9.768307E-004
5214000;1.823888E-001;1.996457E-001;9.934604E-004
5226000;1.823888E-001;1.996457E-001;1.022726E-003
5239000;1.823888E-001;1.996457E-001;1.066566E-003
5251000;1.823888E-001;1.996457E-001;1.134634E-003
5264000;1.823888E-001;1.996457E-001;1.177073E-003
5276000;1.823888E-001;1.996457E-001;1.202703E-003
5289000;1.823888E-001;1.996457E-001;1.214296E-003
5302000;1.823719E-001;1.996457E-001;1.224965E-003
5314000;1.823719E-001;1.996457E-001;1.246035E-003
5327000;1.823888E-001;1.996457E-001;1.287192E-003
5339000;1.823719E-001;1.996457E-001;1.316249E-003
5352000;1.823888E-001;1.996457E-001;1.331657E-003
5365000;1.823888E-001;1.996457E-001;1.355469E-003
5378000;1.823719E-001;1.996457E-001;1.347572E-003
5392000;1.823888E-001;1.996457E-001;1.350492E-003
5405000;1.823719E-001;1.996457E-001;1.373440E-003
5418000;1.823719E-001;1.996457E-001;1.374573E-003
5430000;1.823719E-001;1.996457E-001;1.373440E-003
5443000;1.823888E-001;1.996457E-001;1.380980E-003
5456000;1.823719E-001;1.996457E-001;1.397848E-003
5468000;1.823888E-001;1.996457E-001;1.423508E-003
5481000;1.823719E-001;1.996457E-001;1.418382E-003
5493000;1.823719E-001;1.996457E-001;1.431406E-003
5506000;1.823719E-001;1.996457E-001;1.444727E-003
5519000;1.823719E-001;1.996457E-001;1.423687E-003
5531000;1.823719E-001;1.996457E-001;1.433134E-003
5543000;1.823719E-001;1.996457E-001;1.422584E-003
5555000;1.823550E-001;1.996457E-001;1.413435E-003
5567000;1.823719E-001;1.996457E-001;1.402169E-003
5580000;1.823719E-001;1.996457E-001;1.379520E-003
5593000;1.823719E-001;1.996457E-001;1.364619E-003
5607000;1.823550E-001;1.996457E-001;1.316726E-003
5620000;1.823550E-001;1.996457E-001;1.356840E-003
5633000;1.823550E-001;1.996457E-001;1.365095E-003
5645000;1.823550E-001;1.996457E-001;1.394778E-003
5657000;1.823550E-001;1.996457E-001;1.387477E-003
5670000;1.823550E-001;1.996457E-001;1.364321E-003
5682000;1.823550E-001;1.996457E-001;1.338929E-003
5694000;1.823550E-001;1.996457E-001;1.309365E-003
5706000;1.823550E-001;1.996457E-001;1.291484E-003
5719000;1.823550E-001;1.996457E-001;1.274049E-003
5731000;1.823550E-001;1.996457E-001;1.257986E-003
5743000;1.823381E-001;1.996457E-001;1.272529E-003
5755000;1.823381E-001;1.996457E-001;1.264870E-003
5767000;1.823381E-001;1.996457E-001;1.253515E-003
5779000;1.823381E-001;1.996457E-001;1.271755E-003
5791000;1.823381E-001;1.996457E-001;1.282990E-003
5803000;1.823381E-001;1.996457E-001;1.275718E-003
5815000;1.823213E-001;1.996457E-001;1.258492E-003
5827000;1.823213E-001;1.996457E-001;1.262158E-003
5839000;1.823381E-001;1.996457E-001;1.305670E-003
5851000;1.823381E-001;1.996457E-001;1.336426E-003
5864000;1.823213E-001;1.996457E-001;1.352906E-003
5876000;1.823213E-001;1.996457E-001;1.359254E-003
5888000;1.823213E-001;1.996457E-001;1.388550E-003
5901000;1.823213E-001;1.996457E-001;1.416147E-003
5913000;1.823213E-001;1.996457E-001;1.426727E-003
5926000;1.823213E-001;1.996457E-001;1.400232E-003
5938000;1.823213E-001;1.996457E-001;1.417249E-003
5950000;1.823213E-001;1.996457E-001;1.446962E-003
5962000;1.823044E-001;1.996457E-001;1.451105E-003
5975000;1.823044E-001;1.996457E-001;1.447469E-003
5988000;1.823044E-001;1.996457E-001;1.432955E-003
6000000;1.823044E-001;1.996457E-001;1.427352E-003
6012000;1.823044E-001;1.996457E-001;1.400918E-003
6025000;1.823044E-001;1.996457E-001;1.401544E-003
6037000;1.823044E-001;1.996457E-001;1.388341E-003
6049000;1.822875E-001;1.996457E-001;1.377642E-003
6061000;1.822875E-001;1.996457E-001;1.365989E-003
6073000;1.822875E-001;1.996457E-001;1.378834E-003
6086000;1.822706E-001;1.996457E-001;1.368582E-003
6098000;1.822706E-001;1.996457E-001;1.372278E-003
