Timestamp;torque;torque
5087000;1.362926E+001;5.620313E+000
5099000;1.517484E+001;3.793711E+000
5110000;1.475332E+001;4.636758E+000
5121000;1.419129E+001;5.058281E+000
5134000;1.222418E+001;5.339297E+000
5146000;1.208367E+001;5.479805E+000
5158000;1.208367E+001;5.620313E+000
5169000;9.414023E+000;5.901328E+000
5181000;8.289961E+000;6.603868E+000
5192000;1.138113E+001;6.603868E+000
5204000;1.095961E+001;5.198789E+000
5215000;1.138113E+001;5.198789E+000
5228000;1.053809E+001;5.198789E+000
5239000;1.025707E+001;5.198789E+000
5250000;1.053809E+001;5.198789E+000
5262000;1.095961E+001;5.620313E+000
5274000;1.152164E+001;6.884883E+000
5285000;1.166215E+001;7.727930E+000
5296000;1.250520E+001;7.868438E+000
5307000;1.292672E+001;7.868438E+000
5318000;1.236469E+001;8.430469E+000
5330000;1.180266E+001;7.165899E+000
5341000;1.194316E+001;7.165899E+000
5352000;1.152164E+001;7.446914E+000
5364000;1.194316E+001;7.868438E+000
5377000;1.250520E+001;8.289961E+000
5389000;1.250520E+001;9.273516E+000
5400000;1.236469E+001;9.835547E+000
5411000;1.250520E+001;1.011656E+001
5422000;1.236469E+001;1.067859E+001
5433000;1.208367E+001;1.039758E+001
5445000;1.208367E+001;1.067859E+001
5458000;1.222418E+001;9.414023E+000
5470000;1.208367E+001;9.273516E+000
5481000;1.208367E+001;9.695040E+000
5494000;1.208367E+001;9.695040E+000
5505000;1.194316E+001;1.011656E+001
5517000;1.208367E+001;1.025707E+001
5529000;1.194316E+001;1.011656E+001
5540000;1.194316E+001;9.695040E+000
5552000;1.194316E+001;1.011656E+001
5563000;1.180266E+001;8.289961E+000
5574000;1.180266E+001;7.165899E+000
5585000;1.180266E+001;7.165899E+000
5597000;1.208367E+001;7.868438E+000
5608000;1.208367E+001;8.711485E+000
5619000;1.236469E+001;8.430469E+000
5632000;1.250520E+001;8.711485E+000
5644000;1.292672E+001;8.711485E+000
5656000;1.306723E+001;8.711485E+000
5667000;1.278621E+001;8.851993E+000
5678000;1.152164E+001;8.992500E+000
5690000;1.236469E+001;9.133008E+000
5702000;1.222418E+001;9.414023E+000
5713000;1.222418E+001;8.992500E+000
5725000;1.208367E+001;8.149453E+000
5737000;1.208367E+001;6.603868E+000
5748000;1.194316E+001;7.306406E+000
5760000;1.180266E+001;8.851993E+000
5773000;1.180266E+001;9.695040E+000
5785000;1.180266E+001;9.273516E+000
5797000;1.138113E+001;9.414023E+000
5813000;1.124063E+001;7.446914E+000
5825000;1.110012E+001;7.025391E+000
5837000;1.053809E+001;6.603868E+000
5848000;1.067859E+001;6.182344E+000
5859000;1.110012E+001;5.620313E+000
